01/04/2024 18:23:46 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3048', '2024', '239') # SGA_BASBA54 # 
01/04/2024 18:25:09 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3050', '2024', '237') # SGA_BIVEL # 
01/04/2024 18:25:15 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3048', '2024', '239') # SGA_BASBA54 # 
01/04/2024 18:28:12 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3051', '2024', '219') # SGA_BIOSP # 
01/04/2024 18:31:15 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3054', '2024', '241') # SGA_BATOT23 # 
01/04/2024 18:32:56 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3055', '2024', '263') # SGA_BIROJ # 
01/04/2024 18:42:47 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3056', '2024', '267') # SGA_FURON # 
01/04/2024 19:08:31 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3057', '2024', '257') # SGA_BAEEV14 # 
01/04/2024 19:15:40 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3054', '2024', '241') # SGA_BATOT23 # 
01/04/2024 19:25:37 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3059', '2024', '225') # SGA_BAEEV5 # 
01/04/2024 19:30:33 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3058', '2024', '270') # SGA_BATOT30 # 
01/04/2024 19:34:13 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3060', '2024', '36') # RIN_CPAO8 # 
01/04/2024 19:36:55 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3034', '2024', '250') # SGA_BIRNA # 
01/04/2024 19:55:34 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3063', '2024', '254') # SGA_BAACA18 # 
01/04/2024 19:56:31 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3062', '2024', '258') # SGA_BAEEV16 # 
01/04/2024 20:02:38 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3064', '2024', '43') # SAT_CPBU32 # 
01/04/2024 20:08:46 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3066', '2024', '258') # SGA_BAEEV16 # 
01/04/2024 20:09:10 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3067', '2024', '223') # SGA_BIJUN # 
01/04/2024 20:11:05 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3065', '2024', '253') # SGA_GMRPI # 
01/04/2024 20:14:22 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3069', '2024', '230') # SGA_BICAB # 
01/04/2024 20:17:16 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3070', '2024', '258') # SGA_BAEEV16 # 
01/04/2024 20:19:48 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3068', '2024', '260') # SGA_BAEEV22 # 
01/04/2024 20:20:35 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3065', '2024', '253') # SGA_GMRPI # 
01/04/2024 20:33:12 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3044', '2024', '265') # SGA_BIAHE # 
01/04/2024 20:41:01 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3072', '2024', '255') # SGA_BIRAN # 
01/04/2024 20:44:14 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3022', '2024', '222') # SGA_BR11 # 
01/04/2024 20:56:01 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3071', '2024', '226') # SGA_BR14 # 
01/04/2024 20:58:29 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3022', '2024', '222') # SGA_BR11 # 
01/04/2024 22:28:12 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3073', '2024', '224') # SGA_BIRIF # 
01/04/2024 22:57:22 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3074', '2024', '53') # SAT_CPCFR4 # 
02/04/2024 08:42:54 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3076', '2024', '231') # SGA_BAEEV8 # 
02/04/2024 09:17:34 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3008', '2024', '216') # SGA_BIPEB # 
02/04/2024 09:21:00 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3074', '2024', '53') # SAT_CPCFR4 # 
02/04/2024 09:45:46 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3050', '2024', '237') # SGA_BIVEL # 
02/04/2024 09:58:38 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3080', '2024', '218') # SGA_BAACA4 # 
02/04/2024 10:11:19 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3083', '2024', '229') # SGA_BIBOM # 
02/04/2024 10:13:14 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3084', '2024', '64') # SAT_CPAIC3 # 
02/04/2024 10:13:59 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3057', '2024', '257') # SGA_BAEEV14 # 
02/04/2024 10:20:00 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3084', '2024', '64') # SAT_CPAIC3 # 
02/04/2024 10:39:46 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3022', '2024', '222') # SGA_BR11 # 
02/04/2024 11:08:30 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3085', '2024', '260') # SGA_BAEEV22 # 
02/04/2024 11:12:21 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3081', '2024', '34') # SGR_BAIMI6 # 
02/04/2024 11:14:51 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3086', '2024', '68') # SAT_CPAEA # 
02/04/2024 11:47:17 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3087', '2024', '68') # SAT_CPAEA # 
02/04/2024 11:53:30 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3089', '2024', '255') # SGA_BIRAN # 
02/04/2024 11:53:35 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3070', '2024', '258') # SGA_BAEEV16 # 
02/04/2024 11:54:38 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3088', '2024', '62') # SGR_BASEC1 # 
02/04/2024 11:58:16 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3088', '2024', '62') # SGR_BASEC1 # 
02/04/2024 12:01:06 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3070', '2024', '258') # SGA_BAEEV16 # 
02/04/2024 12:11:39 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3085', '2024', '260') # SGA_BAEEV22 # 
02/04/2024 12:11:49 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3092', '2024', '25') # RIN_CPSII # 
02/04/2024 12:21:58 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3093', '2024', '66') # SAT_CPBAE5 # 
02/04/2024 13:48:15 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3101', '2024', '22') # SGR_BAIME4 # 
