02/04/2024 16:18:52 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='217', fec_anu=getdate() WHERE conse='3133' AND tipo='2' AND ano='2024' # 
02/04/2024 16:54:23 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='205', fec_anu=getdate() WHERE conse='3131' AND tipo='2' AND ano='2024' # 
02/04/2024 17:06:40 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='205', fec_anu=getdate() WHERE conse='3135' AND tipo='2' AND ano='2024' # 
02/04/2024 17:26:13 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='26', fec_anu=getdate() WHERE conse='3142' AND tipo='2' AND ano='2024' # 
02/04/2024 17:39:01 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='26', fec_anu=getdate() WHERE conse='3146' AND tipo='2' AND ano='2024' # 
02/04/2024 18:15:31 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='27', fec_anu=getdate() WHERE conse='3150' AND tipo='2' AND ano='2024' # 
02/04/2024 18:19:23 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='31', fec_anu=getdate() WHERE conse='3153' AND tipo='2' AND ano='2024' # 
02/04/2024 19:55:32 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='31', fec_anu=getdate() WHERE conse='3159' AND tipo='2' AND ano='2024' # 
03/04/2024 08:23:49 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='252', fec_anu=getdate() WHERE conse='1232' AND tipo='2' AND ano='2024' # 
03/04/2024 08:33:07 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='25', fec_anu=getdate() WHERE conse='3167' AND tipo='2' AND ano='2024' # 
03/04/2024 09:05:49 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='25', fec_anu=getdate() WHERE conse='3171' AND tipo='1' AND ano='2024' # 
03/04/2024 09:35:06 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='26', fec_anu=getdate() WHERE conse='3149' AND tipo='2' AND ano='2024' # 
03/04/2024 09:35:44 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='26', fec_anu=getdate() WHERE conse='3139' AND tipo='2' AND ano='2024' # 
03/04/2024 09:36:16 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='26', fec_anu=getdate() WHERE conse='3148' AND tipo='2' AND ano='2024' # 
03/04/2024 09:40:21 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='26', fec_anu=getdate() WHERE conse='3175' AND tipo='2' AND ano='2024' # 
03/04/2024 10:41:57 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='64', fec_anu=getdate() WHERE conse='3129' AND tipo='2' AND ano='2024' # 
03/04/2024 11:28:50 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='25', fec_anu=getdate() WHERE conse='3094' AND tipo='2' AND ano='2024' # 
03/04/2024 12:30:02 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='5', fec_anu=getdate() WHERE conse='3197' AND tipo='2' AND ano='2024' # 
03/04/2024 13:25:19 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='23', fec_anu=getdate() WHERE conse='3201' AND tipo='2' AND ano='2024' # 
03/04/2024 15:25:59 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='35', fec_anu=getdate() WHERE conse='3090' AND tipo='2' AND ano='2024' # 
03/04/2024 15:35:02 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='34', fec_anu=getdate() WHERE conse='3206' AND tipo='1' AND ano='2024' # 
03/04/2024 17:21:38 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='213', fec_anu=getdate() WHERE conse='3024' AND tipo='2' AND ano='2024' # 
03/04/2024 17:40:48 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='247', fec_anu=getdate() WHERE conse='3020' AND tipo='2' AND ano='2024' # 
03/04/2024 18:22:49 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='34', fec_anu=getdate() WHERE conse='3208' AND tipo='2' AND ano='2024' # 
03/04/2024 18:35:20 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='236', fec_anu=getdate() WHERE conse='3117' AND tipo='2' AND ano='2024' # 
03/04/2024 19:30:37 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='282', fec_anu=getdate() WHERE conse='3236' AND tipo='2' AND ano='2024' # 
03/04/2024 20:12:11 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='225', fec_anu=getdate() WHERE conse='3059' AND tipo='1' AND ano='2024' # 
03/04/2024 20:26:20 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='229', fec_anu=getdate() WHERE conse='3082' AND tipo='1' AND ano='2024' # 
03/04/2024 20:45:12 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='205', fec_anu=getdate() WHERE conse='3214' AND tipo='2' AND ano='2024' # 
03/04/2024 20:48:07 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='217', fec_anu=getdate() WHERE conse='1269' AND tipo='2' AND ano='2024' # 
03/04/2024 20:50:01 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='225', fec_anu=getdate() WHERE conse='3243' AND tipo='1' AND ano='2024' # 
03/04/2024 21:35:46 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='203', fec_anu=getdate() WHERE conse='3221' AND tipo='2' AND ano='2024' # 
03/04/2024 22:40:02 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='21', fec_anu=getdate() WHERE conse='3250' AND tipo='2' AND ano='2024' # 
04/04/2024 07:40:05 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='56', fec_anu=getdate() WHERE conse='3257' AND tipo='2' AND ano='2024' # 
04/04/2024 08:52:18 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='204', fec_anu=getdate() WHERE conse='3209' AND tipo='2' AND ano='2024' # 
04/04/2024 08:55:11 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='66', fec_anu=getdate() WHERE conse='3217' AND tipo='2' AND ano='2024' # 
04/04/2024 08:55:17 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='66', fec_anu=getdate() WHERE conse='3216' AND tipo='2' AND ano='2024' # 
04/04/2024 08:57:03 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='66', fec_anu=getdate() WHERE conse='3205' AND tipo='2' AND ano='2024' # 
04/04/2024 08:59:01 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='258', fec_anu=getdate() WHERE conse='3266' AND tipo='2' AND ano='2024' # 
04/04/2024 09:16:14 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='170', fec_anu=getdate() WHERE conse='3264' AND tipo='2' AND ano='2024' # 
04/04/2024 09:52:42 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='124', fec_anu=getdate() WHERE conse='3271' AND tipo='2' AND ano='2024' # 
04/04/2024 10:05:19 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='235', fec_anu=getdate() WHERE conse='3038' AND tipo='2' AND ano='2024' # 
04/04/2024 10:26:07 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='168', fec_anu=getdate() WHERE conse='3267' AND tipo='1' AND ano='2024' # 
04/04/2024 11:34:29 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='235', fec_anu=getdate() WHERE conse='3281' AND tipo='2' AND ano='2024' # 
04/04/2024 11:39:23 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='222', fec_anu=getdate() WHERE conse='3305' AND tipo='2' AND ano='2024' # 
04/04/2024 11:47:15 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='221', fec_anu=getdate() WHERE conse='3023' AND tipo='2' AND ano='2024' # 
04/04/2024 11:52:03 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='21', fec_anu=getdate() WHERE conse='3253' AND tipo='2' AND ano='2024' # 
04/04/2024 11:54:50 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='168', fec_anu=getdate() WHERE conse='3283' AND tipo='2' AND ano='2024' # 
04/04/2024 11:58:18 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='159', fec_anu=getdate() WHERE conse='3307' AND tipo='1' AND ano='2024' # 
