12/06/2024 15:35:12 pm # 2024-06-12 15:35:12 # 20240712 15:35:12 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'BWI106', '20240712 15:35:12', 'A') # TRANSP2_DIADI # 
24/06/2024 14:25:09 pm # 2024-06-24 14:25:09 # 20240724 14:25:09 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'EAN029', '20240724 14:25:09', 'A') # TRANSP2_DIADI # 
24/06/2024 14:30:19 pm # 2024-06-24 14:30:19 # 20240724 14:30:19 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'DBD032', '20240724 14:30:19', 'A') # TRANSP2_DIADI # 
11/07/2024 18:41:18 pm # 2024-07-11 18:41:18 # 20240810 18:41:18 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'DIX937', '20240810 18:41:18', 'A') # TRANSP2_DIADI # 
11/07/2024 18:42:15 pm # 2024-07-11 18:42:15 # 20240810 18:42:15 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'FDZ046', '20240810 18:42:15', 'A') # TRANSP2_DIADI # 
13/07/2024 19:48:29 pm # 2024-07-13 19:48:29 # 20240812 19:48:29 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'DIY802', '20240812 19:48:29', 'A') # DRODRIGUE_DIADI # 
17/07/2024 11:30:40 am # 2024-07-17 11:30:40 # 20240816 11:30:40 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'DIX945', '20240816 11:30:40', 'A') # DRODRIGUE_DIADI # 
18/07/2024 18:54:32 pm # 2024-07-18 18:54:32 # 20240817 18:54:32 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'DIX940', '20240817 18:54:32', 'A') # TRANSP2_DIADI # 
29/07/2024 17:29:22 pm # 2024-07-29 17:29:22 # 20240828 17:29:22 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'BWI106', '20240828 17:29:22', 'A') # TRANSP2_DIADI # 
02/08/2024 15:19:49 pm # 2024-08-02 15:19:49 # 20240901 15:19:49 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'JID991', '20240901 15:19:49', 'A') # TRANSP2_DIADI # 
