01/12/2024 07:51:32 am # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '298', '22', '7', '55', '16') # ING_SIGAR # 
02/12/2024 15:46:09 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ADM_SIGAR', '295', '55', '16', '22', '7') # ADM_SIGAR # 
02/12/2024 15:49:43 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ADM_SIGAR', '296', '55', '16', '22', '7') # ADM_SIGAR # 
02/12/2024 15:50:08 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ADM_SIGAR', '297', '55', '16', '22', '7') # ADM_SIGAR # 
02/12/2024 15:50:51 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ADM_SIGAR', '298', '55', '16', '22', '7') # ADM_SIGAR # 
03/12/2024 09:48:41 am # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ADM_SIGAR', '291', '54', '15', '32', '9') # ADM_SIGAR # 
03/12/2024 09:49:07 am # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ADM_SIGAR', '292', '54', '15', '32', '9') # ADM_SIGAR # 
03/12/2024 09:49:33 am # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ADM_SIGAR', '293', '54', '15', '32', '9') # ADM_SIGAR # 
03/12/2024 09:49:48 am # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ADM_SIGAR', '317', '54', '15', '32', '9') # ADM_SIGAR # 
04/12/2024 20:50:28 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '71', '9', '4', '61', '4') # ING_SIGAR # 
04/12/2024 20:51:22 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '101', '9', '4', '61', '4') # ING_SIGAR # 
28/01/2025 09:48:02 am # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '280', '52', '6', '52', '14') # ING_SIGAR # 
28/01/2025 13:09:52 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'SGR_DAICO', '281', '52', '6', '52', '14') # SGR_DAICO # 
28/01/2025 13:10:28 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'SGR_DAICO', '282', '52', '6', '52', '14') # SGR_DAICO # 
28/01/2025 13:10:55 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'SGR_DAICO', '283', '52', '6', '52', '14') # SGR_DAICO # 
28/01/2025 13:11:24 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'SGR_DAICO', '284', '52', '6', '52', '14') # SGR_DAICO # 
14/02/2025 12:15:05 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '139', '20', '6', '21', '6') # ING_SIGAR # 
14/02/2025 12:15:41 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '138', '20', '6', '21', '6') # ING_SIGAR # 
14/02/2025 12:15:53 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '124', '20', '6', '21', '6') # ING_SIGAR # 
26/02/2025 11:38:42 am # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '71', '74', '4', '9', '4') # ING_SIGAR # 
26/02/2025 11:46:50 am # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '101', '74', '4', '9', '4') # ING_SIGAR # 
26/02/2025 11:51:26 am # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '131', '76', '6', '19', '6') # ING_SIGAR # 
26/02/2025 11:52:23 am # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '140', '76', '6', '65', '6') # ING_SIGAR # 
26/02/2025 11:53:20 am # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '278', '76', '6', '65', '6') # ING_SIGAR # 
26/02/2025 11:53:45 am # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '279', '76', '6', '65', '6') # ING_SIGAR # 
26/02/2025 12:00:45 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '210', '34', '9', '36', '9') # ING_SIGAR # 
26/02/2025 12:01:51 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '239', '41', '10', '42', '10') # ING_SIGAR # 
26/02/2025 12:04:03 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '273', '51', '23', '51', '13') # ING_SIGAR # 
26/02/2025 12:04:44 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '274', '51', '23', '51', '13') # ING_SIGAR # 
26/02/2025 12:05:11 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '275', '51', '23', '51', '13') # ING_SIGAR # 
26/02/2025 12:06:11 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '276', '51', '23', '51', '13') # ING_SIGAR # 
26/02/2025 12:06:36 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '277', '51', '23', '51', '13') # ING_SIGAR # 
28/02/2025 18:16:55 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '71', '9', '4', '74', '4') # ING_SIGAR # 
28/02/2025 18:17:58 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '101', '61', '4', '74', '4') # ING_SIGAR # 
03/03/2025 16:26:57 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '346', '87', '1', '1', '1') # ING_SIGAR # 
03/03/2025 16:27:10 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '344', '87', '1', '1', '1') # ING_SIGAR # 
04/06/2025 11:30:02 am # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '71', '74', '4', '9', '4') # ING_SIGAR # 
04/06/2025 11:30:28 am # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '101', '74', '4', '61', '4') # ING_SIGAR # 
26/06/2025 14:11:39 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '349', '40', '10', '74', '4') # ING_SIGAR # 
07/07/2025 19:51:11 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '159', '47', '11', '27', '8') # ING_SIGAR # 
19/07/2025 21:05:52 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ING_SIGAR', '385', '82', '23', '63', '23') # ING_SIGAR # 
