15/03/2024 08:38:05 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
15/03/2024 15:09:00 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
15/03/2024 15:13:23 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='2' OR usuario LIKE '%DIADI%') AND admin>0 ORDER BY unidad, admin, conse # 
15/03/2024 15:14:53 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
15/03/2024 15:15:46 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
15/03/2024 15:39:09 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
15/03/2024 15:39:31 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='2' OR usuario LIKE '%DIADI%') AND admin>0 ORDER BY unidad, admin, conse # 
15/03/2024 15:44:59 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='2' OR usuario LIKE '%DIADI%') AND admin>0 ORDER BY unidad, admin, conse # 
15/03/2024 16:48:22 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
15/03/2024 16:48:31 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='2' OR usuario LIKE '%DIADI%') AND admin>0 ORDER BY unidad, admin, conse # 
15/03/2024 17:13:46 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='18' OR usuario LIKE '%BRIMI1%') AND admin>0 ORDER BY unidad, admin, conse # 
15/03/2024 17:22:44 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='2' OR usuario LIKE '%DIADI%') AND admin>0 ORDER BY unidad, admin, conse # 
15/03/2024 17:31:11 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='87' OR usuario LIKE '%DIV02%') AND admin>0 ORDER BY unidad, admin, conse # 
15/03/2024 17:42:37 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='2' OR usuario LIKE '%DIADI%') AND admin>0 ORDER BY unidad, admin, conse # 
15/03/2024 17:45:21 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='2' OR usuario LIKE '%DIADI%') AND admin>0 ORDER BY unidad, admin, conse # 
15/03/2024 17:54:29 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
18/03/2024 10:16:07 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='18' OR usuario LIKE '%BRIMI1%') AND admin>0 ORDER BY unidad, admin, conse # 
18/03/2024 10:29:29 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='246' OR usuario LIKE '%BATOT25%') AND admin>0 ORDER BY unidad, admin, conse # 
18/03/2024 15:42:15 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
18/03/2024 16:02:17 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='8' OR usuario LIKE '%CAIMI%') AND admin>0 ORDER BY unidad, admin, conse # 
19/03/2024 08:09:05 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
19/03/2024 09:57:36 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
19/03/2024 10:09:34 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
19/03/2024 10:44:09 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='2' OR usuario LIKE '%DIADI%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
19/03/2024 10:56:50 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='2' OR usuario LIKE '%DIADI%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
19/03/2024 11:37:07 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='2' OR usuario LIKE '%DIADI%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
19/03/2024 13:46:42 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
